,EXEC,IPC,INST,MEM,FREQ,L2MPI,INSTnom%,PhysIPC%,L3MPI,L2MISS,L3MISS,L3HIT,GT,Pred
1403,0.38509544787077826,0.9944720840248759,0.30915996683651903,0.0022425125313274745,0.2996224252695073,0.0012655617802689075,0.3852717355805408,0.9939192924268657,0.0005807295811351377,0.0012699873737365727,0.0026719975490313765,0.975555555556,1.01728786638,1.020762839242653
713,0.1884843511563877,0.5928836211094528,0.596033938839371,0.32799657073306776,0.2828821783984599,0.01268322623168067,0.18864191767195762,0.5930055604328359,0.06983934594028433,0.008025325311938161,0.20404742647073826,0.813382352941,1.03899128229,1.08297961679469
882,0.37903261691776796,0.46213628825572145,0.6649777031709062,0.04924738795051062,0.63496280628364,0.9287411934481792,0.3795227406334509,0.46218905472636823,0.054664029622053786,0.9210399449037081,0.24644050802224002,0.9962878787880001,1.03638588229,1.080972141221413
340,0.4624825510778267,0.5990418278955224,0.5129649325732866,0.0013375164100723216,0.5975950870797557,0.03503129646918767,0.46290852875220456,0.5989926908666667,0.0002614277264626327,0.04217283950627985,0.0014376633986944393,0.999728395062,1.01873665615,1.0216196941854676
37,0.2611223558362702,0.6727174936119403,0.4567844169158444,0.011185879757314079,0.3005073295787453,0.003856840033305322,0.2613724835949441,0.672851956433831,0.0016955871629696895,0.002619281326779892,0.005247913354525917,0.971891891892,1.0209779506799999,1.0233505851274123
599,0.3849953277268722,0.9945725915870649,0.30896592084792973,0.0021088321452974717,0.2995739706788658,0.001485968933028011,0.3853081075308641,0.9943193125283583,0.0004785440900652452,0.0014899008264463729,0.0021855882352957248,0.980163636364,1.0191142042799999,1.0210081134288382
448,0.1378875714684288,0.47250979146815925,0.712253046366046,0.6653998217413183,0.24735848588603124,0.032540079861624646,0.13797853577998234,0.4725521329522388,0.17122796827216094,0.009211959381027991,0.23969352315458803,0.702765957447,1.07835824159,1.0908373144563306
1368,0.24402474458737153,0.5060124907363184,0.6667582465505976,0.6564801060399269,0.40976236191058546,0.022023362536498597,0.24409921573045265,0.5060865883353235,0.13881605783398038,0.014146769825891683,0.39439299123999594,0.661808510638,1.0816057338,1.0737783587507639
669,0.25882653386930987,0.4701276227557214,0.7920885330842979,0.7615583991021688,0.5161000827292276,0.030454268663865542,0.25899087493239265,0.4699978369024876,0.17578901016413503,0.022359051383370587,0.5459654731459896,0.6599130434780001,1.1468223754200002,1.1346602912897619
442,0.3822265731226139,0.46992199496368164,0.6538812945754964,0.0024601782233284316,0.6295751172229205,0.9315627485574228,0.38258177832892415,0.47000798476716427,0.0006397236922420501,0.926459034790976,0.0028855936819212396,1.0,1.0295805416700001,1.043453526860164
841,0.38545513875917764,0.9951253831840798,0.3088075666618432,0.001604770041986786,0.29979547738122536,0.0012603344368039215,0.38579504628894756,0.9945323885621891,0.00041729053622981214,0.0012644031221297597,0.0019095142602499333,0.979535353535,1.01942788036,1.020857860787149
1057,0.3795189147613804,0.4687277896233832,0.6555317362555375,0.0030228632806546603,0.626629111045183,0.9576497265574229,0.37985358752498527,0.46877517176019895,0.0006887804491792336,0.9451515151518681,0.0030949054621787465,1.0,1.08145610087,1.0439502371657263
802,0.8899451271365639,0.8279654359800996,0.37183486687124084,0.002573322403758016,0.8333442817189247,0.00815745245467787,0.8906009880673132,0.827982892555224,0.00025467870256440394,0.019175869218496205,0.002744156346752018,0.9937017543860001,1.1063027072,1.1165310635225232
