,EXEC,MEM,INST,L3MISS,INSTnom%,L3MPI,L2MPI,L3HIT,PhysIPC%,L2MISS,FREQ,IPC,GT,Pred
6589,0.5757397609249459,0.24141942990110535,0.2630262981325461,0.43154551870148217,0.5764705882352941,0.2094285714285715,0.025686746987951804,0.3109552438209752,0.8676012461059187,0.024375857338820306,0.3375959079283887,0.8680718188914911,1.03364855122721,1.0280762295026973
1901,0.5436018028610621,0.23295520651541599,0.4326271131966319,0.4011997177134794,0.543529411764706,0.20785714285714293,0.21409638554216862,0.9188376753507015,0.5271028037383176,0.19094650205761315,0.5247229326513214,0.5292740046838408,1.047130688509498,1.0470037025150467
162,0.4354301391338428,0.2650029086678302,0.35697949305616783,0.4230769230769232,0.43450980392156857,0.2764285714285715,0.03546987951807229,0.3400133600534402,0.6370716510903427,0.025006858710562418,0.34654731457800514,0.6385636221701796,1.0233301563381936,1.0305876584268434
6883,0.21438369586517725,0.2292786503781269,0.40855520745326107,0.3962597035991533,0.21458823529411764,0.5271428571428572,0.0850602409638554,0.39879759519038077,0.5623052959501557,0.029602194787379972,0.1952259164535379,0.5636221701795473,1.0236497611182611,1.0481761419949884
1652,0.4150499706055262,0.2523851076207098,0.3645580206526284,0.39661256175017656,0.41568627450980394,0.268,0.03516867469879518,0.3540414161656646,0.625233644859813,0.02389574759945131,0.3371696504688832,0.6276346604215458,1.0263205899881536,1.0323257681576268
2973,0.22966882226141483,0.24052356020942411,0.453308840273877,0.41284403669724784,0.23035294117647057,0.5085714285714288,0.10963855421686747,0.467935871743487,0.5043613707165109,0.04119341563786008,0.23273657289002556,0.5052302888368464,1.1008028847288898,1.0511608606376714
6006,0.40642759161277675,0.279825479930192,0.36992305914774537,0.45236414961185617,0.40627450980392155,0.31214285714285717,0.03916867469879518,0.32865731462925846,0.6158878504672896,0.02615912208504801,0.3350383631713555,0.6167056986729119,1.0283053515150666,1.0307865318317309
6301,0.54673721340388,0.24001745200698085,0.4307319452566955,0.414255469301341,0.5466666666666666,0.2128571428571429,0.15734939759036143,0.8851035404141616,0.5289719626168224,0.1412894375857339,0.525149190110827,0.5292740046838408,1.0557191492754183,1.0509795511338749
1564,0.38918283362727807,0.8630017452006983,0.65326286678163,0.5221418489767115,0.3900000000000002,0.38314285714285723,0.057433734939759035,0.376002004008016,0.40233644859813084,0.037427983539094656,0.5642583120204603,0.4036299765807963,1.0782185582982151,1.0868809227077298
5620,0.6141485400744661,0.2172134962187319,0.24535955510227653,0.3740296400846861,0.6133333333333333,0.17042857142857148,0.021265060240963855,0.3219772879091516,0.9302180685358258,0.021522633744855968,0.33589087809036655,0.9305230288836845,1.02537863733567,1.0298657820676624
5492,0.41309033901626485,0.2483944153577662,0.3651669705757675,0.3973182780522231,0.41333333333333333,0.26900000000000013,0.03515662650602408,0.3527054108216433,0.6239875389408099,0.02390946502057613,0.33589087809036655,0.626073380171741,1.0398638024674265,1.0326844845250525
1992,0.41309033901626485,0.25649214659685865,0.36564205707361014,0.40649258997882864,0.41333333333333333,0.27500000000000013,0.03536144578313252,0.34335337341349365,0.6236760124610592,0.024128943758573385,0.33674339300937767,0.626073380171741,1.033340506964752,1.0319270692002676
6613,0.22663139329805995,0.19813394415357768,0.4330998562800048,0.34350741002117163,0.22705882352941179,0.44432142857142864,0.10030120481927711,0.5017535070140281,0.5266355140186916,0.036399176954732514,0.21898976982097187,0.5281030444964873,1.0749942873997562,1.0587432932179508
2932,0.40917107583774254,0.263542757417103,0.36796870626671935,0.4216654904728301,0.4086274509803921,0.287857142857143,0.03643373493975903,0.33233132932531734,0.6193146417445482,0.02455418381344307,0.3354646206308611,0.6213895394223264,1.0323806626433036,1.0314648275826916
2995,0.9515970997452479,0.23738801628853992,0.23714142885087702,0.40931545518701495,0.9529411764705883,0.1192857142857143,0.014771084337349399,0.31796927187708746,0.9595015576323989,0.02338820301783265,0.5029838022165388,0.9633099141295861,1.0331879961450456,1.0276062819154062
5371,0.5629041740152851,0.21297993019197212,0.41745853399539357,0.3678546224417785,0.5635294117647061,0.1858928571428572,0.09144578313253011,0.8269038076152305,0.5457943925233644,0.08395061728395062,0.5236572890025575,0.5480093676814989,1.0896393759439995,1.0643088837470922
