,EXEC,L2MISS,L3MISS,L3MPI,INST,PhysIPC%,L3HIT,IPC,INSTnom%,MEM,FREQ,L2MPI,GT,Pred
151,0.4345185185186667,1.0,0.012463892463886746,0.009207034372503599,0.6445778768569531,0.3619162640898551,1.0,0.36171497584528983,0.43481481481466666,0.00841443776756451,0.6925847321372014,1.0,1.62022806669,1.5415623850228037
332,0.32438095238066667,0.04005056890002122,0.0057951829380351785,0.005909558067827339,0.36213480777788815,0.6454451345753623,0.997285714286,0.6457039337463769,0.3243809523813333,0.008249255163351007,0.28984868112790285,0.055238286172395845,1.06479546323,1.0138472868801287
611,0.9709090909066668,0.3057248592113608,0.006520806520806521,0.00222550686723741,0.41110753451191073,0.5694993412384058,0.999818181818,0.5694993412391305,0.9700606060600001,0.009008001542453164,0.9825390700361828,0.14047532259255832,1.32761962142,1.2670784445126366
583,0.33899999999999997,0.018812389380524312,0.017305877305877307,0.016474820143884895,0.3363292063429994,0.6956521739130435,0.9825,0.6956521739130435,0.33866666666666667,0.036818663838812306,0.2812077947133779,0.024178027265446742,1.00551536416,1.0147906221451857
658,0.35733333333333334,0.027865486725664464,0.01242957242956671,0.01135731414867626,0.3187353626572038,0.7342995169057972,0.9916666666670001,0.7342995169094204,0.35733333333333334,0.01985153764585366,0.2808540742172368,0.034402566158782844,1.00163691729,1.0159882264255478
270,0.42133333333333334,0.01888407079645349,0.00903045903045903,0.007097122302158273,0.2701724261733128,0.8641304347826086,0.991,0.8632246376811594,0.42133333333333334,0.013976670201484624,0.281473085085749,0.02006415396953491,1.0110172577399998,1.0158344002250714
609,0.3476666666666666,0.024164601769902948,0.009982839982839983,0.009404676258992807,0.32850515991675516,0.7118659420289856,0.992375,0.7119565217391305,0.3476666666666666,0.011714386709084484,0.28187102064430564,0.030569867682450107,1.02270633516,1.0192111958931016
66,0.44116666666666665,0.6331858407077404,0.00676962676962677,0.005061151079136691,0.6365788583668408,0.3666666666666667,1.0,0.36689311594202906,0.44133333333333336,0.008810533757511488,0.6938669689366413,0.6391840417003364,1.1008618279,1.1100117507562062
447,0.3653333333333333,0.02481769911503546,0.014714714714714716,0.013280575539568346,0.3144401963797546,0.7427536231884058,0.9890000000000001,0.7445652173913044,0.3653333333333333,0.022481442205726405,0.2833301176923468,0.030294707297526178,1.0319608411,1.01479217838539
17,0.98,0.26176991150443824,0.010730730730725013,0.0035851318944892085,0.4016062318485652,0.582004830918116,0.9990000000000001,0.5815217391304348,0.9802222222226668,0.05325321079297279,0.9718470641191503,0.11740176423408877,1.2272320927200002,1.233574249769001
335,0.35919047619066663,0.5045006321106178,0.00616902616902617,0.005658787255913669,0.516884352964556,0.45248447205000003,1.0,0.45238095238043485,0.3592380952386667,0.00887643286371156,0.4578911827125379,0.6248138389284782,1.05061811479,1.090729145511835
377,0.33699999999999997,0.02220530973450541,0.01844701844701845,0.017697841726618705,0.3401080711177257,0.6862318840579711,0.9845,0.6847826086956522,0.33666666666666667,0.03409685401201838,0.28279953694760457,0.028742983159594525,1.0398702064299998,1.0145429017379786
45,0.313523809524,0.028294816687731573,0.008792057363483484,0.00930729701952518,0.36151778331578144,0.646635610765942,0.9943571428569999,0.6464803312644929,0.313523809524,0.015041155380501943,0.2796160524791512,0.040365448504948026,1.0185696214,1.0221686687157718
601,0.28074509803933334,0.18299843831335114,0.005748605748605749,0.0066711807025035975,0.4264222531633132,0.5484228474,0.9992941176469999,0.548593350384058,0.28078431372533336,0.007591957249487452,0.2953150003970499,0.2860182084061291,1.02100662685,0.9955736444782974
676,0.6028148148146667,0.03176637168140114,0.006278659611994853,0.003398880895280576,0.3766120643201164,0.6211755233492755,0.9963333333329999,0.6211755233478261,0.6031111111106667,0.00990848749067515,0.5595858254544436,0.023235765838024555,1.02692452672,1.0429308725265067
